occupation,occupation_aliases
service manager,service operations manager|customer service manager|field service manager|service director|regional service manager|service coordinator|corporate service coordinator|client services manager|client services coordinator|client services representative|support services manager
fibre optic installer,fibre optic technician|fibre optic splicer
fisheries master,master of fishing vessel|fishing vessel captain
manicurist,finger nail technician|nail technician
metallurgist,steel industry experts|extraction metallurgist|chemical tester|physical metallurgist|chemical technician|forging engineer|consultant metallurgist
farrier,horse hoof trimmer|horse shoe fitter|horse pedicure specialist|farriers|shoesmith
coastguard watch officer,maritime and coastguard officer|coastguard|coastguard officer|coastguard rescue officer
wig and hairpiece maker,hairpiece maker|senior wig maker|wig-hairpiece maker|wig builder|wig consultant|wig maker|wig specialist|wig and hairpiece builder|make up artist & wig maker|junior wig maker|wig & hairpiece maker|wig and hairpiece technician|wig technician
matrose,watchstander|able seawoman|able seaman|dayworker|ab
ict application developer,application developer|application software developers|application designer|app software developer|software programmer|application software engineer
stand-up comedian,stand up comedian|comic|humorist|stand up|stand up comic|comedian|stand-up|stand-up comic
crosscut saw operator,crosscut sawyer|cross-cut saw technician|cross-cut sawyer|crosscut saw technician|cross-cut saw specialist|crosscut saw worker|crosscut saw specialist|cross-cut saw operator
harp maker,celtic harp maker|multi-course harp builder|multi-course harp maker|lever harp builder|wire harp maker|wire harp builder|lever harp maker|celtic harp builder|pedal harp maker|pedal harp builder
